11月5日美股专家坐堂实录
　　11月5日，美股专家Aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	高老师，600418如何操作，请支招(2009-11-05 08:03:08)　　专家[aries高]答： 	600418我觉得股价仍然还是很高，上行空间可能会比较有限，10.0位置有一定的支撑。(2009-11-05 21:58:27)
　　匿名问： 	高哥您好，请再谈谈MR吧！我很喜欢这支股票，但需要钱必须今年卖掉！请问现在的价位合适吗？还有可能到33以上吗？谢谢啦(2009-11-05 22:21:16)　　专家[aries高]答： 	MR近期高位??整理，??在30-33之?，我想???保持??。(2009-11-05 22:41:15)
　　匿名问： 	请高老师回答一下铜陵有色，谢谢(2009-11-05 22:22:00)　　专家[aries高]答： 	?陵有色我也有?注，近期的?底形?很好，?期??看?，所以任何??都是介入的不???，我仍然看?。(2009-11-05 22:35:37)
　　匿名问： 	只要王先生坐堂的一周我必然亏钱，只要 Aries坐堂的一周我基本不会亏钱。看来迷信有时不得不信。(2009-11-05 22:24:17)　　专家[aries高]答： 	??是巧合吧，呵呵。(2009-11-05 22:30:00)
　　匿名问： 	高老师，请评价一下aig (2009-11-05 22:24:18)　　专家[aries高]答： 	AIG??天振幅?大，?五?公???，如果??好於?期，那??暴?，反之就?走低，我?向于好於?期。(2009-11-05 22:44:24)
　　匿名问： 	高老师，您好！ 您对电力版块怎么看？000939短期的支撑和压力位在哪？ 谢谢！谢谢！谢谢！！！(2009-11-05 22:25:14)　　专家[aries高]答： 	目前上行???有改?，下?目?16.0附近。支?是12.0附近的前期小高?(2009-11-05 22:46:12)
　　匿名问： 	aries：ung可以介入???(2009-11-05 22:29:44)　　专家[aries高]答： 	UNG的弱??有改?，不排除出?超跌反?，但是在?有有效突破50日EMA前，建??望。(2009-11-05 22:37:35)
　　匿名问：  	aries：ndaq可以介入???(2009-11-05 22:32:06)　　专家[aries高]答： 	NDAQ在17.6附近得到了支?，如果??位置守得住，那?未???看?。(2009-11-05 22:59:35)
　　匿名问： 	高老师，600050和00762是不是一家的？谢谢(2009-11-05 22:33:03)　　专家[aries高]答： 	我的理解是?通的不同子公司，00762是?通香港公司。(2009-11-05 22:39:37)
　　匿名问： 	ge后市走势如何(2009-11-05 22:34:14)　　专家[aries高]答： 	GE短期的弱????有改?，但是料下行空?有限，未?我仍然看好。(2009-11-05 23:00:36)
　　匿名问： 	高老师，美股今天必然是高开低走的，因为商品期货都在跌！ 不知道您怎么看啊(2009-11-05 22:40:35)　　专家[aries高]答： 	??不一定，近期道指和SPX指?都突破了近期的下行通道，短期可能出?反?。(2009-11-05 22:56:50)
　　匿名问： 	高老师您好！看到您回答A股问题很高兴！ 帮忙看看002092中泰化学吧！ 技术上看怎么样啊？ 属于基本化学原料制造板块，这个版块可以吗？(2009-11-05 22:44:32)　　专家[aries高]答： 	002092近期呈?下行通道，?注放量突破通道上方????力的??。(2009-11-05 22:58:17)

